Distance (µm),Cu Lα1_2 (counts),
0,683,
0.0761794299693564,690,
0.152358859938713,623,
0.228538289908069,629,
0.304717719877425,683,
0.380897149846782,630,
0.457076579816138,653,
0.533256009785494,702,
0.609435439754851,679,
0.685614869724207,663,
0.761794299693563,659,
0.837973729662919,645,
0.914153159632276,733,
0.990332589601632,716,
1.06651201957099,668,
1.14269144954034,673,
1.2188708795097,674,
1.29505030947906,633,
1.37122973944841,656,
1.44740916941777,700,
1.52358859938713,677,
1.59976802935648,720,
1.67594745932584,738,
1.7521268892952,725,
1.82830631926455,698,
1.90448574923391,676,
1.98066517920326,716,
2.05684460917262,725,
2.13302403914198,757,
2.20920346911133,742,
2.28538289908069,719,
2.36156232905005,737,
2.4377417590194,730,
2.51392118898876,734,
2.59010061895812,717,
2.66628004892747,702,
2.74245947889683,678,
2.81863890886618,684,
2.89481833883554,665,
2.9709977688049,733,
3.04717719877425,699,
3.12335662874361,762,
3.19953605871297,736,
3.27571548868232,729,
3.35189491865168,728,
3.42807434862104,712,
3.50425377859039,680,
3.58043320855975,702,
3.6566126385291,738,
3.73279206849846,738,
3.80897149846782,702,
3.88515092843717,664,
3.96133035840653,685,
4.03750978837589,750,
4.11368921834524,740,
4.1898686483146,678,
4.26604807828395,697,
4.34222750825331,724,
4.41840693822267,736,
4.49458636819202,706,
4.57076579816138,674,
4.64694522813074,722,
4.72312465810009,679,
4.79930408806945,691,
4.87548351803881,698,
4.95166294800816,724,
5.02784237797752,734,
5.10402180794687,702,
5.18020123791623,728,
5.25638066788559,704,
5.33256009785494,700,
5.4087395278243,752,
5.48491895779366,698,
5.56109838776301,678,
5.63727781773237,717,
5.71345724770173,676,
5.78963667767108,656,
5.86581610764044,710,
5.94199553760979,713,
6.01817496757915,692,
6.09435439754851,692,
6.17053382751786,618,
6.24671325748722,641,
6.32289268745658,578,
6.39907211742593,571,
6.47525154739529,567,
6.55143097736464,507,
6.627610407334,383,
6.70378983730336,385,
6.77996926727271,255,
6.85614869724207,225,
6.93232812721143,211,
7.00850755718078,176,
7.08468698715014,158,
7.16086641711949,141,
7.23704584708885,129,
7.31322527705821,119,
7.38940470702756,96,
7.46558413699692,90,
7.54176356696628,84,
7.61794299693563,83,
7.69412242690499,64,
7.77030185687435,84,
7.8464812868437,63,
7.92266071681306,71,
7.99884014678241,79,
8.07501957675177,79,
8.15119900672113,60,
8.22737843669048,60,
8.30355786665984,50,
8.37973729662919,53,
8.45591672659855,43,
8.53209615656791,55,
8.60827558653727,38,
8.68445501650662,61,
8.76063444647598,39,
8.83681387644533,42,
8.91299330641469,37,
8.98917273638405,44,
9.0653521663534,39,
9.14153159632276,51,
9.21771102629212,49,
9.29389045626147,50,
9.37006988623083,58,
9.44624931620018,57,
9.52242874616954,40,
9.5986081761389,61,
9.67478760610825,56,
9.75096703607761,53,
9.82714646604697,65,
9.90332589601632,78,
9.97950532598568,102,
10.055684755955,93,
10.1318641859244,107,
10.2080436158937,123,
10.2842230458631,142,
10.3604024758325,156,
10.4365819058018,163,
10.5127613357712,205,
10.5889407657405,211,
10.6651201957099,231,
10.7412996256792,301,
10.8174790556486,366,
10.893658485618,420,
10.9698379155873,561,
11.0460173455567,588,
11.122196775526,635,
11.1983762054954,647,
11.2745556354647,700,
11.3507350654341,672,
11.4269144954035,775,
11.5030939253728,796,
11.5792733553422,778,
11.6554527853115,786,
11.7316322152809,825,
11.8078116452502,838,
11.8839910752196,827,
11.9601705051889,799,
12.0363499351583,728,
12.1125293651277,750,
12.188708795097,792,
12.2648882250664,737,
12.3410676550357,718,
12.4172470850051,721,
12.4934265149744,683,
12.5696059449438,731,
12.6457853749132,709,
12.7219648048825,669,
12.7981442348519,729,
12.8743236648212,746,
12.9505030947906,697,
13.0266825247599,694,
13.1028619547293,708,
13.1790413846986,695,
13.255220814668,712,
13.3314002446374,732,
13.4075796746067,691,
13.4837591045761,746,
13.5599385345454,694,
13.6361179645148,740,
13.7122973944841,705,
13.7884768244535,748,
13.8646562544229,698,
13.9408356843922,710,
14.0170151143616,746,
14.0931945443309,711,
14.1693739743003,714,
14.2455534042696,722,
14.321732834239,719,
14.3979122642083,712,
14.4740916941777,741,
14.5502711241471,659,
14.6264505541164,690,
14.7026299840858,660,
14.7788094140551,609,
14.8549888440245,605,
14.9311682739938,570,
15.0073477039632,565,
15.0835271339326,567,
15.1597065639019,611,
15.2358859938713,622,
15.3120654238406,686,
15.38824485381,658,
15.4644242837793,683,
15.5406037137487,670,
15.6167831437181,688,
15.6929625736874,681,
15.7691420036568,708,
15.8453214336261,692,
15.9215008635955,707,
15.9976802935648,675,
16.0738597235342,745,
16.1500391535035,713,
16.2262185834729,778,
16.3023980134423,746,
16.3785774434116,739,
16.454756873381,741,
16.5309363033503,805,
16.6071157333197,757,
16.683295163289,796,
16.7594745932584,724,
16.8356540232277,762,
16.9118334531971,698,
16.9880128831665,733,
17.0641923131358,701,
17.1403717431052,723,
17.2165511730745,726,
17.2927306030439,740,
17.3689100330132,678,
17.4450894629826,697,
17.521268892952,729,
17.5974483229213,647,
17.6736277528907,669,
17.74980718286,698,
17.8259866128294,644,
17.9021660427987,635,
17.9783454727681,662,
18.0545249027374,671,
18.1307043327068,695,
18.2068837626762,706,
18.2830631926455,732,
18.3592426226149,766,
18.4354220525842,749,
18.5116014825536,763,
18.5877809125229,734,
18.6639603424923,811,
18.7401397724617,758,
18.816319202431,737,
18.8924986324004,753,
18.9686780623697,764,
19.0448574923391,766,
19.1210369223084,734,
19.1972163522778,714,
19.2733957822471,763,
19.3495752122165,741,
19.4257546421859,692,
19.5019340721552,738,
19.5781135021246,704,
19.6542929320939,704,
19.7304723620633,660,
19.8066517920326,683,
19.882831222002,689,
19.9590106519714,727,
20.0351900819407,726,
20.1113695119101,697,
20.1875489418794,716,
20.2637283718488,764,
20.3399078018181,772,
20.4160872317875,780,
20.4922666617569,769,
20.5684460917262,748,
20.6446255216956,754,
20.7208049516649,743,
20.7969843816343,722,
20.8731638116036,767,
20.949343241573,733,
21.0255226715423,741,
21.1017021015117,689,
21.1778815314811,716,
21.2540609614504,796,
21.3302403914198,818,
21.4064198213891,766,
21.4825992513585,761,
21.5587786813278,758,
21.6349581112972,721,
21.7111375412666,775,
21.7873169712359,799,
21.8634964012053,788,
21.9396758311746,726,
22.015855261144,725,
22.0920346911133,706,
22.1682141210827,760,
22.244393551052,770,
22.3205729810214,769,
22.3967524109908,673,
22.4729318409601,719,
22.5491112709295,758,
22.6252907008988,754,
22.7014701308682,812,
22.7776495608375,776,
22.8538289908069,815,
22.9300084207763,752,
23.0061878507456,738,
23.082367280715,692,
