Distance (µm),Pb Mα1 (counts),
0,27,
0.0761794299693564,30,
0.152358859938713,43,
0.228538289908069,41,
0.304717719877425,35,
0.380897149846782,33,
0.457076579816138,51,
0.533256009785494,35,
0.609435439754851,38,
0.685614869724207,41,
0.761794299693563,37,
0.837973729662919,38,
0.914153159632276,35,
0.990332589601632,34,
1.06651201957099,31,
1.14269144954034,39,
1.2188708795097,32,
1.29505030947906,39,
1.37122973944841,26,
1.44740916941777,34,
1.52358859938713,30,
1.59976802935648,44,
1.67594745932584,28,
1.7521268892952,35,
1.82830631926455,34,
1.90448574923391,48,
1.98066517920326,34,
2.05684460917262,34,
2.13302403914198,36,
2.20920346911133,38,
2.28538289908069,26,
2.36156232905005,36,
2.4377417590194,38,
2.51392118898876,26,
2.59010061895812,35,
2.66628004892747,31,
2.74245947889683,25,
2.81863890886618,33,
2.89481833883554,35,
2.9709977688049,36,
3.04717719877425,34,
3.12335662874361,27,
3.19953605871297,31,
3.27571548868232,28,
3.35189491865168,25,
3.42807434862104,29,
3.50425377859039,40,
3.58043320855975,42,
3.6566126385291,29,
3.73279206849846,34,
3.80897149846782,28,
3.88515092843717,31,
3.96133035840653,20,
4.03750978837589,32,
4.11368921834524,35,
4.1898686483146,33,
4.26604807828395,30,
4.34222750825331,27,
4.41840693822267,28,
4.49458636819202,33,
4.57076579816138,35,
4.64694522813074,38,
4.72312465810009,30,
4.79930408806945,32,
4.87548351803881,34,
4.95166294800816,38,
5.02784237797752,34,
5.10402180794687,33,
5.18020123791623,44,
5.25638066788559,31,
5.33256009785494,33,
5.4087395278243,34,
5.48491895779366,44,
5.56109838776301,36,
5.63727781773237,43,
5.71345724770173,38,
5.78963667767108,27,
5.86581610764044,37,
5.94199553760979,51,
6.01817496757915,52,
6.09435439754851,47,
6.17053382751786,69,
6.24671325748722,85,
6.32289268745658,89,
6.39907211742593,127,
6.47525154739529,155,
6.55143097736464,212,
6.627610407334,223,
6.70378983730336,256,
6.77996926727271,348,
6.85614869724207,371,
6.93232812721143,432,
7.00850755718078,462,
7.08468698715014,493,
7.16086641711949,578,
7.23704584708885,627,
7.31322527705821,621,
7.38940470702756,686,
7.46558413699692,735,
7.54176356696628,776,
7.61794299693563,762,
7.69412242690499,826,
7.77030185687435,823,
7.8464812868437,810,
7.92266071681306,814,
7.99884014678241,781,
8.07501957675177,784,
8.15119900672113,811,
8.22737843669048,759,
8.30355786665984,771,
8.37973729662919,762,
8.45591672659855,767,
8.53209615656791,775,
8.60827558653727,772,
8.68445501650662,763,
8.76063444647598,781,
8.83681387644533,715,
8.91299330641469,728,
8.98917273638405,706,
9.0653521663534,696,
9.14153159632276,684,
9.21771102629212,748,
9.29389045626147,676,
9.37006988623083,699,
9.44624931620018,606,
9.52242874616954,624,
9.5986081761389,614,
9.67478760610825,625,
9.75096703607761,580,
9.82714646604697,604,
9.90332589601632,531,
9.97950532598568,501,
10.055684755955,455,
10.1318641859244,447,
10.2080436158937,425,
10.2842230458631,327,
10.3604024758325,341,
10.4365819058018,254,
10.5127613357712,236,
10.5889407657405,236,
10.6651201957099,181,
10.7412996256792,159,
10.8174790556486,134,
10.893658485618,128,
10.9698379155873,88,
11.0460173455567,95,
11.122196775526,74,
11.1983762054954,80,
11.2745556354647,62,
11.3507350654341,48,
11.4269144954035,61,
11.5030939253728,60,
11.5792733553422,46,
