Distance (µm),Zn Lα1_2 (counts),
0,240,
0.0761794299693564,245,
0.152358859938713,236,
0.228538289908069,245,
0.304717719877425,218,
0.380897149846782,240,
0.457076579816138,239,
0.533256009785494,232,
0.609435439754851,237,
0.685614869724207,240,
0.761794299693563,208,
0.837973729662919,225,
0.914153159632276,232,
0.990332589601632,273,
1.06651201957099,227,
1.14269144954034,249,
1.2188708795097,234,
1.29505030947906,244,
1.37122973944841,258,
1.44740916941777,266,
1.52358859938713,274,
1.59976802935648,252,
1.67594745932584,273,
1.7521268892952,231,
1.82830631926455,256,
1.90448574923391,224,
1.98066517920326,252,
2.05684460917262,254,
2.13302403914198,276,
2.20920346911133,258,
2.28538289908069,283,
2.36156232905005,274,
2.4377417590194,265,
2.51392118898876,281,
2.59010061895812,241,
2.66628004892747,267,
2.74245947889683,265,
2.81863890886618,247,
2.89481833883554,244,
2.9709977688049,263,
3.04717719877425,264,
3.12335662874361,294,
3.19953605871297,269,
3.27571548868232,286,
3.35189491865168,249,
3.42807434862104,240,
3.50425377859039,230,
3.58043320855975,271,
3.6566126385291,248,
3.73279206849846,289,
3.80897149846782,252,
3.88515092843717,274,
3.96133035840653,247,
4.03750978837589,246,
4.11368921834524,238,
4.1898686483146,260,
4.26604807828395,232,
4.34222750825331,234,
4.41840693822267,258,
4.49458636819202,234,
4.57076579816138,267,
4.64694522813074,219,
4.72312465810009,225,
4.79930408806945,223,
4.87548351803881,257,
4.95166294800816,273,
5.02784237797752,254,
5.10402180794687,238,
5.18020123791623,262,
5.25638066788559,266,
5.33256009785494,270,
5.4087395278243,270,
5.48491895779366,252,
5.56109838776301,233,
5.63727781773237,260,
5.71345724770173,270,
5.78963667767108,277,
5.86581610764044,260,
5.94199553760979,277,
6.01817496757915,247,
6.09435439754851,224,
6.17053382751786,233,
6.24671325748722,220,
6.32289268745658,207,
6.39907211742593,205,
6.47525154739529,216,
6.55143097736464,205,
6.627610407334,160,
6.70378983730336,131,
6.77996926727271,94,
6.85614869724207,80,
6.93232812721143,73,
7.00850755718078,82,
7.08468698715014,91,
7.16086641711949,76,
7.23704584708885,74,
7.31322527705821,53,
7.38940470702756,61,
7.46558413699692,57,
7.54176356696628,46,
7.61794299693563,39,
7.69412242690499,35,
7.77030185687435,50,
7.8464812868437,51,
7.92266071681306,56,
7.99884014678241,45,
8.07501957675177,45,
8.15119900672113,49,
8.22737843669048,46,
8.30355786665984,45,
8.37973729662919,37,
8.45591672659855,31,
8.53209615656791,32,
8.60827558653727,34,
8.68445501650662,34,
8.76063444647598,34,
8.83681387644533,33,
8.91299330641469,25,
8.98917273638405,30,
9.0653521663534,30,
9.14153159632276,34,
9.21771102629212,33,
9.29389045626147,27,
9.37006988623083,33,
9.44624931620018,39,
9.52242874616954,35,
9.5986081761389,39,
9.67478760610825,41,
9.75096703607761,49,
9.82714646604697,46,
9.90332589601632,60,
9.97950532598568,64,
10.055684755955,60,
10.1318641859244,64,
10.2080436158937,83,
10.2842230458631,67,
10.3604024758325,84,
10.4365819058018,85,
10.5127613357712,114,
10.5889407657405,114,
10.6651201957099,148,
10.7412996256792,176,
10.8174790556486,198,
10.893658485618,197,
10.9698379155873,258,
11.0460173455567,251,
11.122196775526,263,
11.1983762054954,264,
11.2745556354647,294,
11.3507350654341,326,
11.4269144954035,295,
11.5030939253728,329,
11.5792733553422,315,
11.6554527853115,322,
11.7316322152809,354,
11.8078116452502,321,
11.8839910752196,294,
11.9601705051889,274,
12.0363499351583,278,
12.1125293651277,246,
12.188708795097,262,
12.2648882250664,263,
12.3410676550357,271,
12.4172470850051,251,
12.4934265149744,277,
12.5696059449438,283,
12.6457853749132,278,
12.7219648048825,299,
12.7981442348519,281,
12.8743236648212,251,
12.9505030947906,272,
13.0266825247599,251,
13.1028619547293,260,
13.1790413846986,235,
13.255220814668,260,
13.3314002446374,234,
13.4075796746067,253,
13.4837591045761,244,
13.5599385345454,254,
13.6361179645148,242,
13.7122973944841,264,
13.7884768244535,277,
13.8646562544229,302,
13.9408356843922,268,
14.0170151143616,275,
14.0931945443309,229,
14.1693739743003,276,
14.2455534042696,213,
14.321732834239,235,
14.3979122642083,232,
14.4740916941777,262,
14.5502711241471,256,
14.6264505541164,244,
14.7026299840858,213,
14.7788094140551,237,
14.8549888440245,217,
14.9311682739938,210,
15.0073477039632,194,
15.0835271339326,220,
15.1597065639019,205,
15.2358859938713,246,
15.3120654238406,248,
15.38824485381,247,
15.4644242837793,235,
15.5406037137487,263,
15.6167831437181,216,
15.6929625736874,214,
15.7691420036568,285,
15.8453214336261,228,
15.9215008635955,240,
15.9976802935648,277,
16.0738597235342,252,
16.1500391535035,264,
16.2262185834729,233,
16.3023980134423,231,
16.3785774434116,273,
16.454756873381,266,
16.5309363033503,273,
16.6071157333197,236,
16.683295163289,239,
16.7594745932584,250,
16.8356540232277,257,
16.9118334531971,261,
16.9880128831665,278,
17.0641923131358,250,
17.1403717431052,240,
17.2165511730745,236,
17.2927306030439,244,
17.3689100330132,255,
17.4450894629826,234,
17.521268892952,229,
17.5974483229213,228,
17.6736277528907,207,
17.74980718286,220,
17.8259866128294,207,
17.9021660427987,210,
17.9783454727681,211,
18.0545249027374,247,
18.1307043327068,232,
18.2068837626762,239,
18.2830631926455,299,
18.3592426226149,253,
18.4354220525842,280,
18.5116014825536,293,
18.5877809125229,282,
18.6639603424923,290,
18.7401397724617,264,
18.816319202431,244,
18.8924986324004,245,
18.9686780623697,262,
19.0448574923391,244,
19.1210369223084,241,
19.1972163522778,227,
19.2733957822471,221,
19.3495752122165,262,
19.4257546421859,262,
19.5019340721552,261,
19.5781135021246,244,
19.6542929320939,221,
19.7304723620633,256,
19.8066517920326,226,
19.882831222002,233,
19.9590106519714,239,
20.0351900819407,248,
20.1113695119101,243,
20.1875489418794,254,
20.2637283718488,254,
20.3399078018181,266,
20.4160872317875,271,
20.4922666617569,265,
20.5684460917262,272,
20.6446255216956,249,
20.7208049516649,250,
20.7969843816343,279,
20.8731638116036,263,
20.949343241573,258,
21.0255226715423,259,
21.1017021015117,242,
21.1778815314811,246,
21.2540609614504,261,
21.3302403914198,278,
21.4064198213891,296,
21.4825992513585,283,
21.5587786813278,272,
21.6349581112972,238,
21.7111375412666,266,
21.7873169712359,283,
21.8634964012053,276,
21.9396758311746,242,
22.015855261144,236,
22.0920346911133,233,
22.1682141210827,269,
22.244393551052,271,
22.3205729810214,271,
22.3967524109908,260,
22.4729318409601,257,
22.5491112709295,252,
22.6252907008988,237,
22.7014701308682,293,
22.7776495608375,276,
22.8538289908069,279,
22.9300084207763,277,
23.0061878507456,225,
23.082367280715,250,
